id,source_url,final_url,download_timestamp,download_status,error_message,content_type_detected,raw_file_path,processed_file_path,file_size_bytes,document_page_count,detected_language,extracted_keywords,extracted_entities,summary,metadata_author,metadata_creation_date
a326bd1b-c1ec-4432-acd4-5a0944c2a893,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_adminguide_ru_bcfbf006dd.pdf,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_adminguide_ru_bcfbf006dd.pdf,2025-05-28 20:38:49,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/a326bd1b-c1ec-4432-acd4-5a0944c2a893.pdf,processed_data/documents/a326bd1b-c1ec-4432-acd4-5a0944c2a893.txt,1031636,166,ru,,,,Positive Technologies,2023-10-20 13:33:19
d4b65e41-174d-44b1-9967-ae6cb3df6ec1,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_developguide_ru_fa71092d84.pdf,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_developguide_ru_fa71092d84.pdf,2025-05-28 20:38:49,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/d4b65e41-174d-44b1-9967-ae6cb3df6ec1.pdf,processed_data/documents/d4b65e41-174d-44b1-9967-ae6cb3df6ec1.txt,2764555,467,ru,,,, Positive Technologies,2023-09-27 17:55:32
ff1e35ab-f6ea-4b33-b0f1-ab2b0379c406,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_operatorguide_ru_f2675fc087.pdf,https://pt-corp.storage.yandexcloud.net/ptmpsiem8_0_operatorguide_ru_f2675fc087.pdf,2025-05-28 20:38:49,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/ff1e35ab-f6ea-4b33-b0f1-ab2b0379c406.pdf,processed_data/documents/ff1e35ab-f6ea-4b33-b0f1-ab2b0379c406.txt,2153828,295,ru,,,, Positive Technologies,2023-09-27 18:13:04
2bd0cb91-48f7-42e6-8728-ce27325aec76,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_administratora_na_russkom_yazyke_28f90b445b.pdf,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_administratora_na_russkom_yazyke_28f90b445b.pdf,2025-05-28 20:38:50,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/2bd0cb91-48f7-42e6-8728-ce27325aec76.pdf,processed_data/documents/2bd0cb91-48f7-42e6-8728-ce27325aec76.txt,1043225,133,ru,,,, Positive Technologies,2023-10-04 08:57:54
ef648fc2-b334-49e4-b48e-32fdef4f16ce,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_bystrogo_starta_na_russkom_yazyke_16e6316e4c.pdf,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_bystrogo_starta_na_russkom_yazyke_16e6316e4c.pdf,2025-05-28 20:38:50,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/ef648fc2-b334-49e4-b48e-32fdef4f16ce.pdf,processed_data/documents/ef648fc2-b334-49e4-b48e-32fdef4f16ce.txt,840766,36,ru,,,, Positive Technologies,2023-10-03 13:00:19
ed5d3f03-d883-41d1-b4c2-27a47bc271a9,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_razrabotchika_na_russkom_yazyke_c079c34e60.pdf,https://pt-corp.storage.yandexcloud.net/Rukovodstvo_razrabotchika_na_russkom_yazyke_c079c34e60.pdf,2025-05-28 20:38:50,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/ed5d3f03-d883-41d1-b4c2-27a47bc271a9.pdf,processed_data/documents/ed5d3f03-d883-41d1-b4c2-27a47bc271a9.txt,563130,50,ru,,,, Positive Technologies,2023-10-03 10:01:17
fa0dfa0c-28a6-4534-9cfb-7bbdc18fd8bb,https://pt-corp.storage.yandexcloud.net/upload/corporate/ru-ru/products/ai/users-guide.pdf,https://pt-corp.storage.yandexcloud.net/upload/corporate/ru-ru/products/ai/users-guide.pdf,2025-05-28 20:38:50,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/fa0dfa0c-28a6-4534-9cfb-7bbdc18fd8bb.pdf,processed_data/documents/fa0dfa0c-28a6-4534-9cfb-7bbdc18fd8bb.txt,1962462,49,ru,,,,,2015-07-23 10:49:32
ac0750ba-1107-41e3-ac42-31e1ccb94d07,https://pt-corp.storage.yandexcloud.net/upload/corporate/ru-ru/products/pt-sandbox/Documentation_ru-RU_ptsandbox0.9_adminguide_ru.pdf,https://pt-corp.storage.yandexcloud.net/upload/corporate/ru-ru/products/pt-sandbox/Documentation_ru-RU_ptsandbox0.9_adminguide_ru.pdf,2025-05-28 20:38:51,failed_processing,Can not convert date: Wed Nov 26 22:31:48 2003,document,raw_downloads/documents/ac0750ba-1107-41e3-ac42-31e1ccb94d07.pdf,processed_data/documents/ac0750ba-1107-41e3-ac42-31e1ccb94d07.txt,1782295,181,ru,,,," АО ""Позитив Текнолоджиз""",2020-06-17 13:07:06
b841640e-8e9c-43ca-bcb2-cad0abb82c2d,https://rt-solar.ru/products/solar_appscreener/documents/,https://rt-solar.ru/products/solar_appscreener/documents/,2025-05-28 20:38:52,success,,page,raw_downloads/pages/b841640e-8e9c-43ca-bcb2-cad0abb82c2d.html,processed_data/pages/b841640e-8e9c-43ca-bcb2-cad0abb82c2d.txt,0,,ru,,,,,
17961b65-967a-40c1-9f53-a5082c5bd552,https://rt-solar.ru/products/solar_dozor/documents/,https://rt-solar.ru/products/solar_dozor/documents/,2025-05-28 20:38:52,success,,page,raw_downloads/pages/17961b65-967a-40c1-9f53-a5082c5bd552.html,processed_data/pages/17961b65-967a-40c1-9f53-a5082c5bd552.txt,0,,ru,,,,,
